,ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
0,12496,Married,Female,40000.0,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42.0,No
1,24107,Married,Male,30000.0,3,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43.0,No
2,14177,Married,Male,80000.0,5,Partial College,Professional,No,2,2-5 Miles,Europe,60.0,No
4,25597,Single,Male,30000.0,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,36.0,Yes
5,13507,Married,Female,10000.0,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,50.0,No
7,19364,Married,Male,40000.0,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43.0,Yes
10,22173,Married,Female,30000.0,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,54.0,Yes
11,12697,Single,Female,90000.0,0,Bachelors,Professional,No,4,10+ Miles,Pacific,36.0,No
13,25323,Married,Male,40000.0,2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35.0,Yes
14,23542,Single,Male,60000.0,1,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45.0,Yes
15,20870,Single,Female,10000.0,2,High School,Manual,Yes,1,0-1 Miles,Europe,38.0,Yes
16,23316,Single,Male,30000.0,3,Partial College,Clerical,No,2,1-2 Miles,Pacific,59.0,Yes
17,12610,Married,Female,30000.0,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47.0,No
18,27183,Single,Male,40000.0,2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35.0,Yes
19,25940,Single,Male,20000.0,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55.0,Yes
20,25598,Married,Female,40000.0,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,36.0,Yes
21,21564,Single,Female,80000.0,0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,35.0,No
22,19193,Single,Male,40000.0,2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,35.0,Yes
23,26412,Married,Female,80000.0,5,High School,Management,No,3,5-10 Miles,Europe,56.0,No
24,27184,Single,Male,40000.0,2,Partial College,Clerical,No,1,0-1 Miles,Europe,34.0,No
25,12590,Single,Male,30000.0,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,63.0,No
26,17841,Single,Male,30000.0,0,Partial College,Clerical,No,1,0-1 Miles,Europe,29.0,Yes
28,18299,Married,Male,70000.0,5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,44.0,No
29,16466,Single,Female,20000.0,0,Partial High School,Manual,No,2,0-1 Miles,Europe,32.0,Yes
30,19273,Married,Female,20000.0,2,Partial College,Manual,Yes,0,0-1 Miles,Europe,63.0,No
31,22400,Married,Male,10000.0,0,Partial College,Manual,No,1,0-1 Miles,Pacific,26.0,Yes
32,20942,Single,Female,20000.0,0,High School,Manual,No,1,5-10 Miles,Europe,31.0,No
33,18484,Single,Male,80000.0,2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50.0,Yes
34,12291,Single,Male,90000.0,5,Partial College,Professional,No,2,2-5 Miles,Europe,62.0,Yes
35,28380,Single,Female,10000.0,5,Partial High School,Manual,No,2,0-1 Miles,Europe,41.0,No
36,17891,Married,Female,10000.0,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,50.0,Yes
37,27832,Single,Female,30000.0,0,Partial College,Clerical,No,1,2-5 Miles,Europe,30.0,No
38,26863,Single,Male,20000.0,0,High School,Manual,No,1,2-5 Miles,Europe,28.0,No
39,16259,Single,Female,10000.0,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40.0,Yes
40,27803,Single,Female,30000.0,2,Partial College,Clerical,No,0,0-1 Miles,Europe,43.0,No
41,14347,Single,Female,40000.0,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65.0,Yes
42,17703,Married,Female,10000.0,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,40.0,No
43,17185,Married,Female,170000.0,4,Partial College,Professional,No,3,5-10 Miles,Europe,48.0,Yes
44,29380,Married,Female,20000.0,3,High School,Manual,Yes,0,0-1 Miles,Europe,41.0,Yes
45,23986,Married,Female,20000.0,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,66.0,Yes
46,24466,Married,Female,60000.0,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46.0,Yes
47,29097,Single,Female,40000.0,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52.0,Yes
48,19487,Married,Male,30000.0,2,Partial College,Clerical,No,2,0-1 Miles,Europe,42.0,No
50,13826,Single,Female,30000.0,0,Partial College,Clerical,No,1,0-1 Miles,Europe,28.0,No
51,20619,Single,Male,80000.0,0,Bachelors,Professional,No,4,10+ Miles,Pacific,35.0,No
52,12558,Married,Female,20000.0,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65.0,No
53,24871,Single,Female,90000.0,4,High School,Management,No,3,5-10 Miles,Europe,56.0,No
54,17319,Single,Female,70000.0,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,42.0,No
55,28906,Married,Male,80000.0,4,High School,Professional,Yes,2,10+ Miles,Europe,54.0,No
56,12808,Married,Male,40000.0,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38.0,Yes
57,20567,Married,Male,130000.0,4,Partial College,Professional,No,4,5-10 Miles,Europe,61.0,Yes
